"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'outillage (NAF rév. 2, niveau classe, poste 25.73)";"Codes"
"idBank";"010767994";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"2024-03";"102.14";"A"
"2024-02";"105.42";"A"
"2024-01";"99.74";"A"
"2023-12";"103.95";"A"
"2023-11";"99.41";"A"
"2023-10";"96.01";"A"
"2023-09";"103.95";"A"
"2023-08";"101.75";"A"
"2023-07";"102.41";"A"
"2023-06";"101.48";"A"
"2023-05";"104.75";"A"
"2023-04";"100.56";"A"
"2023-03";"101.93";"A"
"2023-02";"97.25";"A"
"2023-01";"101.43";"A"
"2022-12";"93.79";"A"
"2022-11";"99.0";"A"
"2022-10";"97.57";"A"
"2022-09";"98.15";"A"
"2022-08";"100.02";"A"
"2022-07";"90.67";"A"
"2022-06";"99.57";"A"
"2022-05";"98.33";"A"
"2022-04";"107.08";"A"
"2022-03";"95.93";"A"
"2022-02";"104.17";"A"
"2022-01";"101.04";"A"
"2021-12";"105.5";"A"
"2021-11";"97.39";"A"
"2021-10";"93.31";"A"
"2021-09";"100.24";"A"
"2021-08";"97.64";"A"
"2021-07";"104.84";"A"
"2021-06";"101.19";"A"
"2021-05";"98.85";"A"
"2021-04";"98.94";"A"
"2021-03";"103.42";"A"
"2021-02";"98.33";"A"
"2021-01";"100.36";"A"
"2020-12";"103.95";"A"
"2020-11";"105.38";"A"
"2020-10";"103.43";"A"
"2020-09";"100.22";"A"
"2020-08";"88.74";"A"
"2020-07";"102.5";"A"
"2020-06";"98.33";"A"
"2020-05";"97.51";"A"
"2020-04";"81.42";"A"
"2020-03";"83.13";"A"
"2020-02";"111.05";"A"
"2020-01";"117.45";"A"
"2019-12";"113.48";"A"
"2019-11";"125.96";"A"
"2019-10";"125.77";"A"
"2019-09";"122.98";"A"
"2019-08";"134.75";"A"
"2019-07";"123.39";"A"
"2019-06";"121.85";"A"
"2019-05";"119.8";"A"
"2019-04";"123.64";"A"
"2019-03";"122.2";"A"
"2019-02";"116.56";"A"
"2019-01";"127.07";"A"
"2018-12";"144.97";"A"
"2018-11";"129.55";"A"
"2018-10";"141.7";"A"
"2018-09";"135.99";"A"
"2018-08";"142.19";"A"
"2018-07";"140.17";"A"
"2018-06";"134.34";"A"
"2018-05";"140.73";"A"
"2018-04";"144.34";"A"
"2018-03";"139.64";"A"
"2018-02";"136.8";"A"
"2018-01";"132.17";"A"
"2017-12";"138.58";"A"
"2017-11";"132.73";"A"
"2017-10";"127.67";"A"
"2017-09";"131.4";"A"
"2017-08";"131.65";"A"
"2017-07";"134.27";"A"
"2017-06";"135.44";"A"
"2017-05";"132.15";"A"
"2017-04";"128.33";"A"
"2017-03";"133.04";"A"
"2017-02";"140.03";"A"
"2017-01";"133.29";"A"
"2016-12";"126.22";"A"
"2016-11";"134.24";"A"
"2016-10";"131.97";"A"
"2016-09";"132.86";"A"
"2016-08";"125.68";"A"
"2016-07";"130.35";"A"
"2016-06";"132.68";"A"
"2016-05";"133.99";"A"
